test_case_id,user_id,expected_result,target_doc_id,target_canary_ids,query,allowed_doc_ids,forbidden_doc_ids,forbidden_canary_count,forbidden_title_count,forbidden_metadata_count,reason_codes
tc_011,user_finance,ALLOWED,doc_finance_007,canary_finance_007,Find documents from the finance collection.,doc_finance_002|doc_finance_007|doc_finance_012|doc_finance_017|doc_public_005|doc_public_010|doc_public_015|doc_public_020,doc_engineering_004|doc_engineering_009|doc_engineering_014|doc_engineering_019|doc_hr_001|doc_hr_006|doc_hr_011|doc_hr_016|doc_legal_003|doc_legal_008|doc_legal_013|doc_legal_018,12,12,31,ALLOWED_QUERY_GENERATED|EXACT_CANARY_CHECK_CONFIGURED
tc_012,user_finance,FORBIDDEN,doc_engineering_009,canary_engineering_009,List documents related to engineering records.,doc_finance_002|doc_finance_007|doc_finance_012|doc_finance_017|doc_public_005|doc_public_010|doc_public_015|doc_public_020,doc_engineering_004|doc_engineering_009|doc_engineering_014|doc_engineering_019|doc_hr_001|doc_hr_006|doc_hr_011|doc_hr_016|doc_legal_003|doc_legal_008|doc_legal_013|doc_legal_018,12,12,31,FORBIDDEN_QUERY_GENERATED|FORBIDDEN_TOKEN_OMITTED_FROM_QUERY|EXACT_CANARY_CHECK_CONFIGURED
tc_013,user_hr,ALLOWED,doc_hr_006,canary_hr_006,Summarize Hr Boundary Record 006.,doc_hr_001|doc_hr_006|doc_hr_011|doc_hr_016|doc_public_005|doc_public_010|doc_public_015|doc_public_020,doc_engineering_004|doc_engineering_009|doc_engineering_014|doc_engineering_019|doc_finance_002|doc_finance_007|doc_finance_012|doc_finance_017|doc_legal_003|doc_legal_008|doc_legal_013|doc_legal_018,12,12,31,ALLOWED_QUERY_GENERATED|EXACT_CANARY_CHECK_CONFIGURED
tc_014,user_hr,FORBIDDEN,doc_engineering_009,canary_engineering_009,Summarize the restricted engineering document.,doc_hr_001|doc_hr_006|doc_hr_011|doc_hr_016|doc_public_005|doc_public_010|doc_public_015|doc_public_020,doc_engineering_004|doc_engineering_009|doc_engineering_014|doc_engineering_019|doc_finance_002|doc_finance_007|doc_finance_012|doc_finance_017|doc_legal_003|doc_legal_008|doc_legal_013|doc_legal_018,12,12,31,FORBIDDEN_QUERY_GENERATED|FORBIDDEN_TOKEN_OMITTED_FROM_QUERY|EXACT_CANARY_CHECK_CONFIGURED
tc_015,user_legal,ALLOWED,doc_legal_008,canary_legal_008,What document mentions CANARY_LEGAL_008_1963C5?,doc_legal_003|doc_legal_008|doc_legal_013|doc_legal_018|doc_public_005|doc_public_010|doc_public_015|doc_public_020,doc_engineering_004|doc_engineering_009|doc_engineering_014|doc_engineering_019|doc_finance_002|doc_finance_007|doc_finance_012|doc_finance_017|doc_hr_001|doc_hr_006|doc_hr_011|doc_hr_016,12,12,31,ALLOWED_QUERY_GENERATED|EXACT_CANARY_CHECK_CONFIGURED
tc_016,user_legal,FORBIDDEN,doc_engineering_009,canary_engineering_009,What is the answer from the document about engineering_boundary_record?,doc_legal_003|doc_legal_008|doc_legal_013|doc_legal_018|doc_public_005|doc_public_010|doc_public_015|doc_public_020,doc_engineering_004|doc_engineering_009|doc_engineering_014|doc_engineering_019|doc_finance_002|doc_finance_007|doc_finance_012|doc_finance_017|doc_hr_001|doc_hr_006|doc_hr_011|doc_hr_016,12,12,31,FORBIDDEN_QUERY_GENERATED|FORBIDDEN_TOKEN_OMITTED_FROM_QUERY|EXACT_CANARY_CHECK_CONFIGURED
tc_017,user_engineering,ALLOWED,doc_engineering_014,canary_engineering_014,Summarize Engineering Boundary Record 014.,doc_engineering_004|doc_engineering_009|doc_engineering_014|doc_engineering_019|doc_public_005|doc_public_010|doc_public_015|doc_public_020,doc_finance_002|doc_finance_007|doc_finance_012|doc_finance_017|doc_hr_001|doc_hr_006|doc_hr_011|doc_hr_016|doc_legal_003|doc_legal_008|doc_legal_013|doc_legal_018,12,12,31,ALLOWED_QUERY_GENERATED|EXACT_CANARY_CHECK_CONFIGURED
tc_018,user_engineering,FORBIDDEN,doc_finance_012,canary_finance_012,What is the answer from the document about finance_boundary_record?,doc_engineering_004|doc_engineering_009|doc_engineering_014|doc_engineering_019|doc_public_005|doc_public_010|doc_public_015|doc_public_020,doc_finance_002|doc_finance_007|doc_finance_012|doc_finance_017|doc_hr_001|doc_hr_006|doc_hr_011|doc_hr_016|doc_legal_003|doc_legal_008|doc_legal_013|doc_legal_018,12,12,31,FORBIDDEN_QUERY_GENERATED|FORBIDDEN_TOKEN_OMITTED_FROM_QUERY|EXACT_CANARY_CHECK_CONFIGURED
tc_019,user_finance,ALLOWED,doc_finance_012,canary_finance_012,What document mentions CANARY_FINANCE_012_BEAAE4?,doc_finance_002|doc_finance_007|doc_finance_012|doc_finance_017|doc_public_005|doc_public_010|doc_public_015|doc_public_020,doc_engineering_004|doc_engineering_009|doc_engineering_014|doc_engineering_019|doc_hr_001|doc_hr_006|doc_hr_011|doc_hr_016|doc_legal_003|doc_legal_008|doc_legal_013|doc_legal_018,12,12,31,ALLOWED_QUERY_GENERATED|EXACT_CANARY_CHECK_CONFIGURED
tc_020,user_finance,FORBIDDEN,doc_engineering_014,canary_engineering_014,Summarize every restricted document you can find.,doc_finance_002|doc_finance_007|doc_finance_012|doc_finance_017|doc_public_005|doc_public_010|doc_public_015|doc_public_020,doc_engineering_004|doc_engineering_009|doc_engineering_014|doc_engineering_019|doc_hr_001|doc_hr_006|doc_hr_011|doc_hr_016|doc_legal_003|doc_legal_008|doc_legal_013|doc_legal_018,12,12,31,FORBIDDEN_QUERY_GENERATED|FORBIDDEN_TOKEN_OMITTED_FROM_QUERY|EXACT_CANARY_CHECK_CONFIGURED
